Presence of JS,Presence of NS,Presence of internal JS,Number of JS,Number of NS,Number of external JS,Number of internal JS,Presence of image,Presence of iframe,Presence of links,Number of image,Number of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,Presence of World Traffic rank,Presence of Country Traffic rank,World Traffic rank,Country Traffic rank,presence of form,No of form,probability0,probability1,Output
1,0,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,30,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,11,0,1,0,0,0,0,0,2,2,3622257,19306,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,0,3,1,0,0,0,1,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,50,7,0,3,0,0,0,0,1,2,2,1629550,191903,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,15,0,0,0,55,3,0,4,2,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,1,10,47,0,10,1,0,1,25,0,0,998,0,0,0,60,3,0,1,1,0,0,0,24,0,0,0,0,1,4,2,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,23,3,0,1,0,0,0,0,1,2,0,9450879,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,78,3,1,3,1,0,1,0,17,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,1,4,0,0,0,20,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,39,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,2,1
1,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,41,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,15,0,0,0,46,3,0,3,2,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,16,0,0,0,47,3,0,3,2,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,18,0,0,0,40,3,0,2,1,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,47,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,54,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,0,2,0,0,0,0,1,2,2,269840,32626,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,4,1,1,0,0,3,2,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,0,0,0,0,3,2,2,3978,1070,0,0,0,2,1
1,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,38,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,66,3,0,1,9,0,0,0,5,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,1,10,47,0,10,1,0,1,25,0,0,998,0,0,0,60,3,0,1,1,0,0,0,26,0,0,0,0,1,4,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,3,0,0,3,1,0,1,2,0,0,5,0,0,0,32,3,0,1,1,0,0,0,0,0,0,0,0,1,2,0,2,1
1,1,1,36,2,0,36,1,0,1,5,0,0,33,0,1,0,112,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,172,9,1,3,0,0,1,0,63,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,139,8,1,3,0,0,1,0,41,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,3,1,4,2,0,2,1,34,0,0,0,0,0,0,0,2,1
1,1,1,1,1,0,1,1,0,1,2,0,0,26,0,0,0,96,3,1,3,1,0,1,0,18,2,0,2564456,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,46,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,2,0,0,0,0,7,2,2,96059,60458,0,0,0,2,1
1,0,1,7,0,0,7,0,0,1,0,0,0,1,0,0,0,109,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,70,6,0,2,0,0,1,0,16,2,2,2456,34,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,0,3,0,0,0,0,0,0,69,6,0,3,1,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,7,0,0,7,0,0,1,0,0,0,4,0,0,0,70,3,0,1,11,0,0,0,1,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,0,1,0,0,0,0,18,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,1,4,0,0,0,23,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,0,2,1,1,0,0,17,0,0,0,0,0,0,0,2,1
1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,38,3,0,2,0,0,0,0,0,2,2,30758,49426,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,5,0,0,5,0,0,1,0,0,0,16,0,0,0,70,3,0,1,9,0,0,0,4,0,0,0,0,1,3,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,5,0,0,5,1,0,1,1,0,0,29,0,0,0,110,13,0,3,1,1,0,0,5,0,0,0,0,1,2,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1,0,1,1,0,0,10,0,0,0,46,3,0,7,1,0,0,0,6,0,0,0,0,1,1,0,2,1
1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,48,3,0,3,0,0,0,0,1,2,2,30758,49426,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,27,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,30,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,7,0,0,7,1,0,0,1,0,0,0,0,0,0,36,4,0,3,0,0,0,0,1,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,43,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,13,0,0,0,43,3,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,238,11,1,3,0,0,1,0,101,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,1,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,70,6,0,2,0,0,0,0,4,2,2,2456,34,0,0,0,2,1
1,1,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,42,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,51,3,0,2,0,0,0,0,3,2,2,6001,2145,0,0,0,2,1
1,0,1,15,0,0,15,1,0,1,1,0,0,22,0,0,0,70,6,0,1,1,0,0,0,0,2,0,7216921,0,1,2,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,30,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,16,0,0,0,38,3,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,70,4,0,1,1,0,1,0,21,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,1,3,1,0,1,0,7,0,0,0,0,0,0,0,2,1
