Presence of JS,Presence of NS,Presence of internal JS,Presence of image,Presence of iframe,Presence of links,Number of JS,Number of NS,Number of internal JS,Number of image,Nuber of iframes,Number of links,Number of sms API call,Number of tel API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
1,1,1,1,0,1,36,2,36,5,0,33,0,1,116,6,1,3,1,0,0,0,0,0,0,0.175928393502096,0.82407160649791,0,0,1
0,0,0,0,0,1,0,0,0,0,0,22,0,0,42,5,0,2,0,0,0,0,0,389130,5428,0.397620553984547,0.602379446015455,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,8,0,5,1,0,0,0,0,0,0,0.293867839593452,0.706132160406538,0,0,1
1,1,1,0,0,1,4,1,4,0,0,1,0,0,41,3,0,2,0,0,0,0,0,4255,1914,0.423557321387509,0.576442678612483,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,205,10,1,3,0,0,1,0,89,0,0,0.001293953426115,0.998706046573879,0,0,1
0,0,0,1,0,0,0,0,0,2,0,0,0,0,48,6,0,2,0,0,0,0,0,0,0,0.385172854523986,0.614827145476002,1,1,1
1,0,1,0,0,0,11,0,11,0,0,0,0,0,70,4,1,3,0,0,1,0,1,33,13,0.319024880305468,0.680975119694527,0,0,1
1,0,1,1,0,1,5,0,5,1,0,4,0,0,137,7,1,2,0,3,5,4,11,1,1,0.053126825094677,0.946873174905326,1,1,1
1,1,1,1,0,1,10,47,10,25,0,998,0,0,60,3,0,1,1,0,0,0,18,0,0,0.999999999993946,6.04878074006013E-12,1,4,1
1,0,1,0,0,0,2,0,2,0,0,0,0,0,36,3,0,2,0,0,0,0,1,0,0,0.430751077861009,0.569248922138997,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0.457036133810098,0.542963866189892,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5,0,1,0,0,0,0,4,0,0,0.398968714165837,0.601031285834157,0,0,1
1,1,1,1,0,1,10,47,10,25,0,998,0,0,60,3,0,1,1,0,0,0,15,0,0,0.999999999994031,5.98033952967929E-12,1,4,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,22,3,0,1,0,0,0,0,1,0,0,0.464404072964404,0.535595927035596,0,0,1
1,0,1,1,0,1,1,0,1,1,0,2,0,0,30,3,0,2,0,0,0,0,0,0,0,0.448789946724172,0.55121005327583,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,8,0,2,2,0,0,0,0,0,0,0.280943298271734,0.719056701728261,0,0,1
