Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,30,3,0,2,0,0,0,0,0,0,0,0,0.448789946724172,0.5512100532758305,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,8,0,2,2,0,0,0,0,0,0,0,0.28094329827173364,0.7190567017282612,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,11,0,1,0,0,0,0,0,0,3622257,19306,3.149070987386493e-05,0.9999685092901393,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,1,2,0,0,0,0,0,0,0,0.42865399204333304,0.5713460079566572,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,0,3,1,0,0,0,0,1,0,0,0.37415628451258315,0.6258437154874266,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,50,7,0,3,0,0,0,0,0,1,1629550,191903,3.063676097118778e-05,0.9999693632390335,1,1,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,15,0,0,0,0,55,3,0,4,2,0,0,0,0,0,0,0,0.3727972818345119,0.627202718165476,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,2,0,0,0,0,0,0,0,0,0.4255218350642536,0.5744781649357427,0,0,1
1,1,0,1,1,0,0,1,10,47,0,10,25,0,0,998,0,0,0,0,60,3,0,1,1,0,0,0,0,24,0,0,0.9999999999938041,6.199167530399723e-12,1,4,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,3,0,1,0,0,0,0,0,1,9450879,0,1.1609229690400935e-28,1.0,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,78,3,1,3,1,0,1,0,0,17,0,0,0.2466071343241114,0.7533928656758879,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,1,4,0,0,0,0,20,0,0,0.2854533199396593,0.7145466800603519,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,39,2,1,4,0,0,1,0,0,0,0,0,0.41589402282651167,0.5841059771734884,0,0,1
1,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,41,3,0,2,0,0,0,0,0,0,0,0,0.4206176033859642,0.5793823966140377,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,15,0,0,0,0,46,3,0,3,2,0,0,0,0,0,0,0,0.40882794030646175,0.5911720596935327,1,1,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,16,0,0,0,0,47,3,0,3,2,0,0,0,0,0,0,0,0.40565340509398157,0.594346594906005,1,1,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,18,0,0,0,0,40,3,0,2,1,0,0,0,0,0,0,0,0.4327367747462181,0.5672632252537712,1,1,1
1,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,47,3,0,3,1,0,0,0,0,0,0,0,0.39841106024508866,0.6015889397548995,0,0,1
