Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,No of form,Output
0,0,0,0,0,0,0,0,0,0,0,65,4,1,1,0,0,3,2,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,0,0,0,0,3,3978,1070,0,1
4,0,0,4,0,0,0,0,0,0,0,38,3,0,2,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,66,3,0,1,9,0,0,0,5,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,42,3,0,3,1,0,0,0,0,0,0,0,1
10,47,0,10,25,0,0,998,0,0,0,60,3,0,1,1,0,0,0,26,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,38,5,0,1,0,0,0,0,0,0,0,0,1
3,0,0,3,2,0,0,5,0,0,0,32,3,0,1,1,0,0,0,0,0,0,2,1
36,2,0,36,5,0,0,33,0,1,0,112,6,1,2,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,172,9,1,3,0,0,1,0,63,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,139,8,1,3,0,0,1,0,41,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,48,4,0,2,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,103,3,1,4,2,0,2,1,34,0,0,0,1
1,1,0,1,2,0,0,26,0,0,0,96,3,1,3,1,0,1,0,18,2564456,0,1,1
0,0,0,0,0,0,0,1,0,0,0,46,3,0,3,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,33,3,0,2,0,0,0,0,7,96059,60458,0,1
7,0,0,7,0,0,0,1,0,0,0,109,4,0,1,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,70,6,0,2,0,0,1,0,16,2456,34,0,1
0,0,0,0,0,0,0,0,0,0,0,44,3,0,4,1,0,0,0,0,0,0,0,1
2,0,0,2,3,0,0,0,0,0,0,69,6,0,3,1,0,0,0,0,0,0,1,1
7,0,0,7,0,0,0,4,0,0,0,70,3,0,1,11,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,70,3,0,1,0,0,0,0,18,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,53,3,0,5,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,68,5,0,1,4,0,0,0,23,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,67,8,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,70,4,0,2,1,1,0,0,17,0,0,0,1
1,1,0,1,0,1,1,1,0,0,0,38,3,0,2,0,0,0,0,0,30758,49426,0,1
0,0,0,0,0,0,0,0,0,0,0,20,3,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,40,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,1
5,0,0,5,0,0,0,16,0,0,0,70,3,0,1,9,0,0,0,4,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,51,3,0,4,1,0,0,0,0,0,0,0,1
5,0,0,5,1,0,0,29,0,0,0,110,13,0,3,1,1,0,0,5,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,31,3,0,1,2,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,10,0,0,0,46,3,0,7,1,0,0,0,6,0,0,1,1
1,1,0,1,0,1,1,1,0,0,0,48,3,0,3,0,0,0,0,1,30758,49426,0,1
0,0,0,0,0,0,0,0,0,0,0,40,4,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,27,3,0,1,2,0,0,0,0,0,0,0,1
4,0,0,4,0,0,0,0,0,0,0,30,3,0,1,1,0,0,0,0,0,0,0,1
7,0,0,7,1,0,0,0,0,0,0,36,4,0,3,0,0,0,0,1,0,0,1,1
