Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
1,0,0,1,1,0,0,1,17,0,0,17,3,0,0,84,0,0,0,0,17,2,0,1,0,0,0,0,0,0,48,29,0
1,1,0,1,1,1,0,1,13,2,0,13,8,2,0,93,0,0,0,0,19,2,0,1,0,0,0,0,0,0,663,303,0
1,1,0,1,1,0,0,1,15,1,0,15,2,0,0,49,0,0,0,0,20,2,0,1,0,0,0,0,0,0,8,5,0
1,0,0,1,1,0,0,1,9,0,0,9,1,0,0,7,0,0,0,0,27,2,0,2,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,22,0,0,22,151,0,0,314,0,0,0,0,24,2,0,1,0,0,0,0,0,0,357,361,0
1,0,0,1,1,0,0,1,1,0,0,1,3,0,0,3,0,0,0,0,18,2,0,1,0,0,0,0,0,0,14,3,0
1,1,0,1,1,1,0,1,20,1,0,20,3,1,0,107,0,0,0,0,19,2,0,1,0,0,0,0,0,0,81,30,0
1,0,0,1,1,0,0,1,5,0,0,5,1,0,0,43,0,0,0,0,29,2,0,1,0,0,0,0,0,0,63416,110878,0
1,0,0,1,1,0,0,1,23,0,0,23,300,0,0,535,0,0,0,0,23,2,0,2,0,0,0,0,0,0,1,1,0
1,1,0,1,1,1,0,1,49,1,0,49,13,1,0,176,0,0,0,0,19,2,0,1,0,0,0,0,0,0,360,252,0
1,0,0,1,1,0,0,1,6,0,0,6,1,0,0,29,0,0,0,0,17,2,0,1,0,0,0,0,0,0,107,3,0
1,0,0,1,1,0,0,0,45,0,0,45,1,0,0,0,0,0,0,0,19,2,0,1,0,0,0,0,0,0,64,28,0
1,1,0,1,1,0,0,1,30,1,0,30,1,0,0,224,0,0,0,0,15,2,0,1,0,0,0,0,0,0,72,22,0
1,0,0,1,1,0,0,1,12,0,0,12,16,0,0,187,0,0,0,0,15,2,0,1,0,0,0,0,0,0,136,86,0
1,0,0,1,1,0,0,1,9,0,0,9,1,0,0,7,0,0,0,0,24,2,0,2,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,23,0,0,23,8,0,0,59,0,1,0,0,27,2,0,1,0,0,0,0,0,0,4148,3221,0
1,0,0,1,0,1,0,1,34,0,0,34,0,1,0,12,0,0,0,0,19,2,0,1,0,0,0,0,0,0,2,2,0
1,0,0,1,1,0,0,1,18,0,0,18,127,0,0,141,0,0,0,0,18,2,0,1,0,0,0,0,0,0,103,105,0
1,0,0,1,1,0,0,1,4,0,0,4,5,0,0,12,0,0,0,0,14,2,0,1,0,0,0,0,0,0,1326,2546,0
1,0,0,1,1,0,0,1,6,0,0,6,12,0,0,52,0,0,0,0,15,2,0,1,0,0,0,0,0,0,241,47,0
