Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,19,3,0,2,0,0,0,0,0,3,0,0,1
1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,36,3,0,2,0,0,0,0,0,1,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,58,4,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,3,0,0,0,0,40,3,0,2,2,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,16,0,0,0,0,54,3,0,3,2,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,14,0,0,14,59,0,0,146,0,1,0,0,117,4,1,1,0,6,4,3,0,21,237044,38550,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,46,3,0,2,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,1,10,47,0,10,24,0,0,998,0,0,0,0,60,3,0,1,1,0,0,0,0,24,0,0,1
1,0,0,1,0,0,0,1,5,0,0,5,0,0,0,6,0,0,0,0,37,3,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,42,5,0,2,0,0,0,0,0,0,427480,5168,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,205,10,1,3,0,0,1,0,0,89,6283718,0,1
